city,metric,core_value,extended_value,delta_abs,delta_rel_pct
paris,GTC p50,,,,
paris,Share <=60 min,,,,
paris,Accessibility C median,121125.73256805303,287.952367695514,-120837.78020035752,-99.76226986488298
paris,Gini C,,,,
paris,Kakwani,,,,
dublin,GTC p50,,,,
dublin,Share <=60 min,,,,
dublin,Accessibility C median,15154.961524338578,2315.517223973892,-12839.444300364685,-84.72106167834727
dublin,Gini C,,,,
dublin,Kakwani,-0.4189829215250531,-1.5884866306155985,-1.1695037090905454,279.1292076616576
warsaw,GTC p50,,,,
warsaw,Share <=60 min,,,,
warsaw,Accessibility C median,23921.867984610544,1711.979843560124,-22209.888141050422,-92.84345250688
warsaw,Gini C,,,,
warsaw,Kakwani,-0.3709463811241218,-0.3443303488001561,0.0266160323239657,-7.175169695228742
